ID,Q20,valid_10_3min,valid_10_5min,valid_8_3min,valid_8_5min,valid_6_3min,valid_6_5min,Q21,Q595,state,urban,Q594,Q1525,Q23,Q5,Q8,Q9,Q1523,Q1524,Q1081_1_1,Q1081_2_1,Q1081_3_1,Q1069_1,Q1069_9,Q1069_6,Q1069_7,Q1069_8,Q1069_10,Q1069_11,Q1069_12,Q1069_13,Q1026_1,Q1026_9,Q1026_6,Q1026_7,Q1026_8,Q1026_10,Q1026_11,Q1026_12,Q1026_13,Q1076,Q1091,Q1077,Q1092,Q1078,Q1073,Q1080,Q1139,Q1141,Q1143,Q1145,Q1506,Q1507,Q1515,Q1516,Q1518,Q1519,Q1521,Q1522,Q1112,Q1130,Q1114,Q1115,Q1129,Q1147,Q1149,Q1150,Q1151,Q1152,fish_Y,Q1071,meals_Y,fish_BY,Q1083,meals_BY,Q747,B_Y_type,L_Y_type,D_Y_type,B_BY_type,L_BY_type,D_BY_type,Q748,Q749,B_Y_source,Q766,Q751,Q762,Q763,Q764,Q765,Q911,Q912,Q913,L_Y_source,Q915,Q916,Q928,Q929,Q930,Q931,Q934,Q935,Q936,D_Y_source,Q938,Q939,Q951,Q952,Q953,Q954,Q957,Q958,Q959,B_BY_source,Q961,Q962,Q974,Q975,Q976,Q977,Q980,Q981,Q982,L_BY_source,Q984,Q985,Q997,Q998,Q999,Q1000,Q1003,Q1004,Q1005,D_BY_source,Q1007,Q1008,Q1020,Q1021,Q1022,Q1023,Q1031,Q1086,Q1074,Q1051,Q1052_1,Q1052_2,Q1052_3,Q1052_4,Q1087,Q1257,Q1090,Q1527,Q2,Q4,Q3,Q14,Q29,Q12,Q15_102,Q15_103,Q15_104,Q15_105,Q15_106,Q15_107,Q15_108,Q15_109,Q15_110,Q15_111,buyer,SDA
1,Doramae,1,1,1,1,1,1,10301,4,Ngaraard,NA,Choll,1,1,7,3,4,2,1,NA,NA,NA,rarely_never,rarely_never,rarely_never,rarely_never,daily,daily,daily,triweekly,rarely_never,never,never,never,never,thrice_plus,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,don't_like,don't_like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1995,1,JW,2-year degree,"<$4,999",NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,0
2,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,3,2,1,1,NA,100,0,0,bi_monthly,bi_monthly,rarely_never,rarely_never,weekly,triweekly,weekly,triweekly,rarely_never,once,once,never,never,thrice_plus,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,"2,3",2,1,"1,2,3",3,NA,NA,can_mack,reef,can_tuna,reef,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,308,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,5,2,NA,2,16,16,12,11,21,NA,9,NA,3,1969,1,Catholic,HS,"$5,000-$9,999",NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,0
3,Doramae,0,0,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,4,2,2,1,NA,0,0,100,rarely_never,rarely_never,rarely_never,rarely_never,triweekly,triweekly,daily,weekly,rarely_never,never,never,never,never,thrice_plus,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"1,2",NA,NA,1,NA,1,2,1,1,"1,2,3",3,NA,NA,can_tuna,NA,can_tuna,reef,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,2,3,NA,NA,6,NA,NA,NA,301,NA,2,3,NA,NA,6,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1977,1,Protestant,HS,"$5,000-$9,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
4,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,4,2,2,1,NA,100,0,0,weekly,bi_monthly,bi_monthly,bi_monthly,rarely_never,rarely_never,weekly,weekly,rarely_never,thrice_plus,once,twice,never,never,never,thrice_plus,never,never,NA,NA,loin,6,NA,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,1,1,"2,3",2,NA,NA,NA,grouper,NA,milkfish,grouper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,1,2,NA,2,NA,NA,NA,NA,303,NA,1,1,4,NA,NA,NA,NA,NA,6,NA,5,2,15,16,12,11,NA,NA,NA,NA,4,1976,3,Catholic,some college,"$5,000-$9,999",NA,3,1,2,NA,NA,NA,NA,NA,NA,1,0
5,Doramae,0,0,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,3,3,0,1,NA,0,0,100,bi_monthly,bi_monthly,rarely_never,rarely_never,weekly,triweekly,triweekly,triweekly,rarely_never,once,once,never,never,thrice_plus,thrice_plus,thrice_plus,twice,never,NA,NA,NA,NA,2,belly,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,3,1,2,0,0,NA,NA,NA,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1954,1,Protestant,HS,"$5,000-$9,999",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0
6,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,2,2,0,1,NA,0,50,50,weekly,weekly,weekly,bi_monthly,bi_monthly,weekly,weekly,triweekly,rarely_never,thrice_plus,once,never,never,twice,thrice_plus,thrice_plus,twice,never,NA,NA,NA,NA,2,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,"2,3",2,1,"1,2,3",3,NA,NA,reef,reef,reef,can_mack,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,3,NA,NA,NA,NA,NA,NA,301,NA,1,2,NA,4,NA,NA,NA,NA,301,NA,1,3,NA,NA,NA,NA,NA,NA,309,NA,2,2,NA,2,NA,NA,NA,NA,301,NA,1,3,NA,NA,NA,NA,NA,NA,6,NA,5,5,16,15,14,11,NA,NA,NA,NA,4,1965,1,Protestant,HS,"$5,000-$9,999",NA,3,NA,2,NA,NA,NA,NA,1,NA,1,0
7,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,3,3,0,1,NA,100,0,0,rarely_never,rarely_never,rarely_never,rarely_never,triweekly,triweekly,daily,daily,rarely_never,never,never,never,never,thrice_plus,thrice_plus,thrice_plus,never,never,NA,NA,NA,NA,NA,steak,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,"1,2,3",3,1,"1,2,3",3,301,reef,reef,reef,reef,reef,reef,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,6,NA,5,2,NA,NA,14,11,NA,NA,NA,NA,4,1944,1,Protestant,<HS,"$5,000-$9,999",1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0
8,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,3,3,0,1,NA,100,0,0,weekly,weekly,bi_monthly,bi_monthly,triweekly,triweekly,triweekly,daily,rarely_never,once,once,once,once,thrice_plus,thrice_plus,thrice_plus,never,never,whole,3,whole,3,NA,loin,fillet,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1,2,3",3,1,3,1,301,reef,reef,reef,NA,NA,reef,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,5,2,NA,4,16,16,14,11,22,NA,9,NA,3,1956,1,Catholic,HS,"$10,000-$29,999",NA,3,NA,2,NA,NA,NA,NA,1,NA,1,0
9,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,4,3,1,1,NA,0,100,0,weekly,weekly,weekly,weekly,rarely_never,rarely_never,bi_monthly,bi_monthly,rarely_never,thrice_plus,thrice_plus,twice,twice,never,never,once,once,never,piece,4,belly,6,2,belly,fillet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,2,1,NA,NA,NA,NA,NA,reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1969,5,Catholic,some college,"$50,000-$74,999",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0
10,Doramae,1,1,1,1,1,1,80201,4,Ngaraard,NA,Choll,1,1,6,3,3,1,NA,100,0,0,rarely_never,rarely_never,rarely_never,rarely_never,triweekly,triweekly,daily,daily,rarely_never,never,never,never,never,thrice_plus,thrice_plus,once,never,never,NA,NA,NA,NA,NA,loin,fillet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2",1,NA,NA,NA,2,NA,NA,NA,NA,1,"1,2,3",3,1,"1,2,3",3,308,can_tuna,reef,reef,grouper,grouper,reef,NA,1,2,NA,2,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,303,NA,1,1,4,NA,NA,NA,NA,NA,303,NA,1,1,4,NA,NA,NA,NA,NA,301,NA,1,1,4,NA,NA,NA,NA,NA,5,2,NA,2,16,16,14,11,21,NA,"7,9",NA,3,1969,1,JW,HS,"$5,000-$9,999",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
